대여일자,평일/주말,평균온도,풍속,풍향,강수량,미세먼지(㎍/㎥),초미세먼지(㎍/㎥),이용건수
2022-02-11,0,2.9,1.8,250,0,79,58,5614
2022-02-12,1,4.8,1.7,270,0,86,63,5277
2022-02-13,1,4.8,1.8,320,0,56,39,4545
2022-02-14,0,2.5,2.9,270,0.0096,41,29,3989
2022-02-15,0,-4.7,3.8,270,0,37,24,4056
2022-02-16,0,-7.3,3.7,270,0,29,19,3525
2022-02-17,0,-6.2,2.5,290,0,31,18,3944
2022-02-18,0,-1.2,2,270,0,42,25,4811
2022-02-19,1,-1.7,2.9,290,0,42,26,3749
2022-02-20,1,-4.8,4.1,290,0,31,15,2593
2022-02-21,0,-3,2.9,270,0.0006,28,13,4055
2022-02-22,0,-4.5,3.2,320,0,31,14,4031
2022-02-23,0,-5.6,2.6,290,0,27,11,3932
2022-02-24,0,-2.4,2.2,320,0,30,15,4450
2022-02-25,0,3,2.3,250,0,61,40,5219
2022-02-26,1,5.4,3.9,290,0.0062,63,37,3362
2022-02-27,1,3.7,2.8,250,0,46,23,4738
2022-02-28,0,6.8,1.5,200,0,38,14,6107
2022-03-01,1,5.8,2.3,250,0.0131,37,21,4531
2022-03-02,0,3.5,2.7,230,0,28,13,5751
2022-03-03,0,5.8,2.1,290,0,47,21,6389
2022-03-04,0,6.9,3.6,180,0,82,31,6045
2022-03-05,1,2.3,4.3,250,0,93,14,4971
2022-03-06,1,1.4,2.6,320,0,43,8,4869
2022-03-07,0,2.8,2,270,0,37,14,6039
2022-03-08,0,6,2,270,0,50,21,6781
2022-03-09,1,7.1,1.9,250,0,72,37,7872
2022-03-10,0,9.3,2.1,200,0,69,36,7406
2022-03-11,0,11.2,1.9,180,0,64,32,8147
2022-03-12,1,12.8,2.7,180,0.0148,69,36,7332
2022-03-13,1,11.7,1.9,320,0.2389,16,9,3222
2022-03-14,0,8.2,3.2,250,0.0494,15,7,3958
2022-03-15,0,7.2,2,250,0,37,24,7589
2022-03-16,0,10.3,2.1,290,0,70,36,8151
2022-03-17,0,10.7,2.7,50,0.0068,51,22,6186
2022-03-18,0,7.5,4.4,50,0,8,2,6555
2022-03-19,1,3.4,3,50,0.0829,7,3,2823
2022-03-20,1,5.4,2.6,230,0,19,12,5646
2022-03-21,0,5,2.4,320,0,29,15,6962
2022-03-22,0,7.1,2.2,270,0,34,21,8018
2022-03-23,0,6.2,2.3,250,0,35,20,7189
2022-03-24,0,8.2,1.8,200,0,41,25,7660
2022-03-25,0,12,2.6,50,0.0619,65,42,6933
2022-03-26,1,11.8,2.9,230,0.1124,11,5,5480
2022-03-27,1,8.1,3,320,0,34,15,7942
2022-03-28,0,8.2,2.1,270,0,29,13,8918
2022-03-29,0,9.7,2.1,270,0,42,17,9494
2022-03-30,0,10.8,1.8,50,0.0023,37,16,7807
2022-03-31,0,10.9,2.5,340,0,24,11,9397
2022-04-01,0,9.2,2.6,270,0,17,7,10384
2022-04-02,1,8.2,2.3,270,0,32,17,10142
